,sentence,sentiment,topic,sentence_dropped
0,slide giáo trình đầy đủ .,2,1,slide giáo_trình đầy_đủ
1,"nhiệt tình giảng dạy , gần gũi với sinh viên .",2,0,nhiệt_tình giảng_dạy gần_gũi sinh_viên
2,đi học đầy đủ full điểm chuyên cần .,0,1,đi học đầy_đủ  chuyên_cần
3,chưa áp dụng công nghệ thông tin và các thiết bị hỗ trợ cho việc giảng dạy .,0,0,NOT áp_dụng công_nghệ thông_tin thiết_bị giảng_dạy
4,"thầy giảng bài hay , có nhiều bài tập ví dụ ngay trên lớp .",2,0,thầy giảng hay nhiều bài_tập ví_dụ lớp
5,"giảng viên đảm bảo thời gian lên lớp , tích cực trả lời câu hỏi của sinh viên , thường xuyên đặt câu hỏi cho sinh viên .",2,0,giảng_viên lên_lớp tích_cực trả_lời câu sinh_viên thường_xuyên câu sinh_viên
6,"em sẽ nợ môn này , nhưng em sẽ học lại ở các học kỳ kế tiếp .",1,3,nợ môn học học_kỳ kế_tiếp
7,"thời lượng học quá dài , không đảm bảo tiếp thu hiệu quả .",0,1,thời_lượng học quá NOT tiếp_thu hiệu_quả
8,"nội dung môn học có phần thiếu trọng tâm , hầu như là chung chung , khái quát khiến sinh viên rất khó nắm được nội dung môn học .",0,1,nội_dung môn_học NOT trọng_tâm hầu_như khái_quát sinh_viên khó nắm nội_dung môn_học
9,cần nói rõ hơn bằng cách trình bày lên bảng thay vì nhìn vào slide .,0,1,cần nói trình_bày bảng thay_vì slide
10,thầy rất tận tình và đi dạy rất đúng giờ .,2,0,thầy tận_tình đi dạy đúng giờ
11,dễ bị áp lực .,0,3,áp_lực
12,"đang dạy thầy wzjwz208 đi qua nước ngoài giữa chừng , thầy wzjwz209 dạy thay .",1,0,dạy thầy đi nước_ngoài giữa_chừng thầy dạy thay
13,môn học còn dễ cần nâng độ khó lên nữa .,0,1,môn_học cần nâng độ khó
14,"có thể cho sinh viên đi thăm quan nhiều công ty xem quy mô và cách làm việc , để giúp hiểu rõ hơn vê ngành mình đang học .",0,1,sinh_viên đi   nhiều công_ty quy_mô làm_việc giúp hiểu vê ngành học
15,hài lòng về tất cả .,2,3,hài_lòng
16,"nhiệt tình , vui vẻ .",2,0,nhiệt_tình vui_vẻ
17,thấy nhiệt tình trong việc trao đổi giúp đỡ về học tập .,2,0,nhiệt_tình trao_đổi giúp_đỡ học_tập
18,phong cách giảng bài của thầy rất gần gũi với sinh viên !,2,0,phong_cách giảng thầy gần_gũi sinh_viên
19,giảng dạy kết hợp các hoạt động giải trí có hiệu quả .,2,0,giảng_dạy kết_hợp hoạt_động  hiệu_quả
20,cần tạo các buổi seminar để sinh viên có thể hiểu sâu thêm về các vấn đề trong chuyên ngành nhưng không có trong môn học .,0,1,cần seminar sinh_viên hiểu sâu chuyên_ngành NOT môn_học
21,tiết học thoải mái .,2,0,tiết học thoải_mái
22,"thầy nhiệt tình , quan tâm tới sinh viên .",2,0,thầy nhiệt_tình quan_tâm sinh_viên
23,"giảng dạy nhiệt tình , hướng dẫn chi tiết đến lúc sinh viên hiểu !",2,0,giảng_dạy nhiệt_tình hướng_dẫn chi_tiết sinh_viên hiểu
24,"chưa có nhiều tiết làm bài tập , chữa bài tập trên lớp .",0,1,NOT nhiều tiết bài_tập chữa bài_tập lớp
25,tài liệu được bổ sung nhiều và đầy đủ trên moodle .,2,1,tài_liệu bổ_sung nhiều đầy_đủ m dle
26,giảng viên phải nên cho ví dụ cụ thể những phần quan trọng nên nói kỹ có thể lấy ví dụ minh họa tránh việc lập đi lập lại nhiều lần sẽ tạo cảm giác chán cho sinh viên .,0,0,giảng_viên ví_dụ nói kỹ ví_dụ minh_họa lập đi lập nhiều cảm_giác chán sinh_viên
27,nên biên soạn một tài liệu của chính trường ta .,0,1,biên_soạn một tài_liệu  ta
28,không giúp đỡ sinh viên trong những vấn đề xung quanh .,0,0,NOT giúp_đỡ sinh_viên xung_quanh
29,"bài tập đa dạng , cụ thể .",2,1,bài_tập đa_dạng
30,"nội dung giảng viên yêu câu seminar hầu như không có tài liệu tham khảo và rất ít ứng dụng trong thực tế , đề nghị có sự thay đổi trong những năm học tới .",0,1,nội_dung giảng_viên yêu câu seminar hầu_như NOT tài_liệu tham_khảo ứng_dụng đề_nghị năm_học
31,slide up đầy đủ trước mỗi buổi học .,2,1,slide up đầy_đủ học
32,"nội dung giảng dạy quá nhàm chán , khô khan .",0,1,nội_dung giảng_dạy quá nhàm_chán khô_khan
33,lượng kiến thức quá nhiều trong một học kỳ .,0,1,kiến_thức quá nhiều một học_kỳ
34,thầy chép bảng nhiều .,0,0,thầy chép bảng nhiều
35,"thầy tận tình hướng dẫn cách làm , giải quyết những thắc mắc của sinh viên .",2,0,thầy tận_tình hướng_dẫn giải_quyết thắc_mắc sinh_viên
36,"chúc các thầy cô , anh chị làm việc vui vẻ !",2,3,chúc thầy cô anh_chị làm_việc vui_vẻ
37,"hay , nhiệt tình , dễ hiểu .",2,0,hay nhiệt_tình hiểu
38,"mặc dù nhiệt tình nhưng khi truyền đạt thì lại khó hiểu , sử dụng ngôn từ gây khó khăn cho việc hiểu bài .",0,0,mặc_dù nhiệt_tình truyền_đạt khó hiểu ngôn_từ khó_khăn hiểu
39,"thầy dạy khá hay , cung cấp nhiều thông tin liên quan đến môn học , đưa ra nhiều hướng giải quyết khi sinh viên gặp vấn đề khó khăn với đồ án !",2,0,thầy dạy hay cung_cấp nhiều thông_tin môn_học nhiều hướng giải_quyết sinh_viên khó_khăn đồ_án
40,hy vọng học kỳ sau có thể học được với cô .,2,0,hy_vọng học_kỳ học cô
41,nhiều khi em lên lớp học môn đặc tả hình thức giống như lên lớp học mà không biết mình học cái gì .,0,1,nhiều lên_lớp_học môn đặc_tả hình_thức lên_lớp_học NOT biết học
42,trong khi giảng nói nhỏ quá .,0,0,giảng quá
43,thực hành khó hiểu .,0,1,thực_hành khó hiểu
44,"thầy rất tận tâm nhiệt tình , quan tâm đến sinh viên , giảng bài dễ hiểu , kiến thức sâu rộng am hiểu cao .",2,0,thầy tận_tâm nhiệt_tình quan_tâm sinh_viên giảng hiểu kiến_thức sâu_rộng am_hiểu
45,"cô dạy với nhiệt huyết của mình , dù như thế nào , cô vẫn luôn mỉm cười và kiên trì giảng bài cho chúng em đến khi chúng em hiểu .",2,0,cô dạy nhiệt_huyết cô  cười kiên_trì giảng hiểu
46,"cô lên lớp đúng giờ , giảng bài rất dễ hiểu cho sinh viên .",2,0,cô lên_lớp đúng giờ giảng hiểu sinh_viên
47,"những thông tin cần thiết như doubledot thời gian dealine , cách nộp bài thường không dặn lớp thực hành thứ hai .",0,0,thông_tin cần_thiết doubledot  nộp NOT dặn lớp thực_hành hai
48,"thầy nhiệt tình , dễ chịu .",2,0,thầy nhiệt_tình dễ_chịu
49,"giảng viên chưa đi sâu vào bản chất của vấn đề , em chỉ học thôi mà không biết bản chất của nó là gì nó có ứng dụng gì sau này cho chuyên nghành của em .",0,0,giảng_viên NOT đi_sâu bản_chất học NOT biết bản_chất ứng_dụng chuyên nghành
50,đặc biệt hơn là thầy đã bỏ rất nhiều công sức trong việc ra bài tập và chấm điểm một cách rõ ràng và minh bạch .,2,0,thầy bỏ nhiều công_sức bài_tập chấm rõ_ràng minh_bạch
51,cô rất nhiệt tình và tận dụng tốt thời gian .,2,1,cô nhiệt_tình tận_dụng
52,"giảng viên tận tâm , nhiệt huyết trong giảng dạy .",2,0,giảng_viên tận_tâm nhiệt_huyết giảng_dạy
53,"thầy nhiệt tình , gần gũi .",2,0,thầy nhiệt_tình gần_gũi
54,"giảng viên tận tâm , giảng dễ hiểu , dễ tiếp thu .",2,0,giảng_viên tận_tâm giảng hiểu tiếp_thu
55,tạo ra sự cạnh tranh trong mỗi buổi thực hành .,1,0, thực_hành
56,bài tập và có code tham khảo .,2,1,bài_tập code tham_khảo
57,"cần nâng cấp hệ thống wifi , vì khi vào phòng thực hành , sinh viên không thể truy cập internet , buộc phải xin phép ra ngoài để làm bài .",0,2,cần nâng_cấp hệ_thống wifi phòng thực_hành sinh_viên truy_cập internet buộc phép
58,tài liệu không chi tiết lắm .,0,1,tài_liệu NOT chi_tiết lắm
59,"tận tâm , nhiệt tình , vui tính , dễ gần với sinh viên .",2,0,tận_tâm nhiệt_tình vui_tính sinh_viên
60,thầy dạy rất hay và nhiệt tình .,2,0,thầy dạy hay nhiệt_tình
61,"thầy dạy không đúng giờ , không hướng dẫn sinh viên thực hành .",0,0,thầy dạy NOT đúng giờ NOT hướng_dẫn sinh_viên thực_hành
62,giúp đỡ học sinh quá ít .,0,0,giúp_đỡ học_sinh quá
63,cô dạy buồn ngủ quá .,0,0,cô dạy buồn_ngủ quá
64,nên kinh mong nội dung môn học được giảm tải cho phù hợp hơn với đặc thù của một trường công nghệ thông tin .,0,1, mong nội_dung môn_học tải đặc_thù một trường công_nghệ thông_tin
65,thầy tận tình vui tính .,2,0,thầy tận_tình vui_tính
66,cô lại kiểu khó tính nữa .,0,0,cô khó_tính
67,tạo hứng thú cho sinh viên .,2,0,hứng_thú sinh_viên
68,cô giảng hay cuốn hút và truyền đạt dễ hiểu .,2,0,cô giảng hay cuốn_hút truyền_đạt hiểu
69,có hứng thú học .,2,0,hứng_thú học
70,ôn tập đúng theo thầy nhưng không biết cuối kỳ được mấy điểm .,1,1,ôn_tập đúng thầy NOT biết kỳ mấy
71,"giảng viên hướng dẫn cụ thể , chi tiết .",2,0,giảng_viên hướng_dẫn chi_tiết
72,giáo trình quá ít và nội dung không khác nhau là mấy .,0,1,giáo_trình quá nội_dung NOT mấy
73,"giáo viên nghỉ dạy liên tục , cuối học kỳ lại tăng học bù , những tiết học bù đó đã ảnh hưởng đến những đồ án , và trễ deadline .",0,0,giáo_viên nghỉ dạy liên_tục học_kỳ học bù tiết học bù ảnh_hưởng đồ_án trễ deadline
74,"giáo viên lúc dạy lúc không , không dạy cũng không thông báo , sinh viên tốn thời gian , công sức , tiền bạc rồi ngồi đợi và đi về .",0,0,giáo_viên dạy NOT NOT dạy NOT thông_báo sinh_viên tốn công_sức  đợi đi
75,"cần có một phòng máy tốt hơn , hiện đại hơn .",0,2,cần một phòng máy hiện_đại
76,thầy nên cho làm bài tập tương tự nhau nhiều hơn một vài bài để tránh tình trạng quên hoặc các dạng tựa nhau nhưng hơi khác cách làm .,0,0,thầy bài_tập tương_tự nhiều quên dạng  hơi
77,"không ngờ môn này lại chán đến như vậy , không học được gì từ môn này , thầy dạy chán kinh khủng , hay đi trễ từ 30 - 45 phút , không nhiệt tình .",0,0,NOT  môn chán NOT học môn thầy dạy chán  hay đi trễ ba mươi bốn mươi lăm phút NOT nhiệt_tình
78,giảng viên đánh giá sai điểm và năng lực của học sinh .,0,0,giảng_viên sai năng_lực học_sinh
