,index,comment,n_star,date_time,label,category,sentiment
0,0,mua máy thegioididong thốt_nốt cảm_thấy ok bin trâu chụp ảnh đẹp loa to bắt wf khỏe_sóng ổn_định giá_thành túi_tiền nhân_viên tư_vấn nhiệt_tình POSITIVE,5,2 tuần trước,{CAMERA#Positive};{FEATURES#Positive};{BATTERY#Positive};{PRICE#Positive};{GENERAL#Positive};{SER&ACC#Positive};,"CAMERA, FEATURES, BATTERY, PRICE, GENERAL, SER&ACC","Positive, Positive, Positive, Positive, Positive, Positive"
1,1,pin kém miễn chê mua tình_trạng pin tám mươi tám,5,14/09/2019,{BATTERY#Negative};{GENERAL#Positive};{OTHERS};,"BATTERY, GENERAL","Negative, Positive"
2,2,gọi điện_thoại màn_hình chấm nháy camera vậylúc,3,17/08/2020,{FEATURES#Negative};,FEATURES,Negative
3,3,cập_nhật phần_mềm bớt tốn pin thử ok vân NOTPOS,3,29/02/2020,{FEATURES#Negative};{BATTERY#Neutral};{GENERAL#Neutral};,"FEATURES, BATTERY, GENERAL","Negative, Neutral, Neutral"
4,4,mua xài pin trâu xài bao mượt lỗi nhạc tai_nghe hơi rút tai_nghe_ra cắm POSITIVE,5,4/6/2020,{BATTERY#Positive};{PERFORMANCE#Positive};{SER&ACC#Negative};,"BATTERY, PERFORMANCE, SER&ACC","Positive, Positive, Negative"
5,5,xài mượt pin trâu độ nhân_viên nhiệt_tình vui_vẻ nói_chung tầm giá máy,5,20/06/2019,{BATTERY#Neutral};{PERFORMANCE#Positive};{PRICE#Neutral};{GENERAL#Positive};{SER&ACC#Positive};,"BATTERY, PERFORMANCE, PRICE, GENERAL, SER&ACC","Neutral, Positive, Neutral, Positive, Positive"
6,6,xài bảy bảy pin chả máy kiểu cơ_bản lướt web cơ_bản game,1,1 tuần trước,{BATTERY#Negative};{OTHERS};,BATTERY,Negative
7,7,hôm_qua_ngày e thế_giới di_động mua dthoai galaxy a51 đầu cửa_hàng báo_giá 7 790SCORENEGATIVE tặng phiếu mua hàng 250k thanh_toán nhân_viên thanh_toán 7 90SCORENEGATIVE phiếu mua hàng đi 20km mua thoai tối nhân_viên gọi xin_lỗi sai xót bảo phiếu mua hàng 250k chán thời_gian,2,23/06/2020,{SER&ACC#Negative};{OTHERS};,SER&ACC,Negative
8,8,tại_sao điện_thoại sạc nóng máy trời t tắt tất_cả mạng ứng dung game cấm chạy sạc điện_thoại nóng trời sạc tiếng,2,23/12/2019,{BATTERY#Negative};{OTHERS};,BATTERY,Negative
9,9,đầu định mua samsung cửa_hàng nhân_viên tư_vấn opo a9 thất_vọng thực_sự opo màn_hình hiển_thị tối_om máy game giật lang khó_chịu vl sạc bao_giờ dung opo,1,31/05/2020,{SCREEN#Negative};{BATTERY#Negative};{PERFORMANCE#Negative};{SER&ACC#Negative};{OTHERS};,"SCREEN, BATTERY, PERFORMANCE, SER&ACC","Negative, Negative, Negative, Negative"
